scenario,note_id,entry_index,event_ts_ms,event_date_utc,step_day,live_notes_before,close_ratio,low_ratio,close_price,hedge_inventory_sol,hedge_inventory_mark_usdc,hedge_cash_usdc,coupon_outflows_cumulative_usdc,current_capital_mark_usdc,buyback_price_usdc,borrow_amount_usdc,current_ltv,unwind_cost_usdc,available_after_unwind_usdc,buffer_usdc,coverage_ratio,return_1d,vol_5d_ann,stress_day,autocalled_step,trigger_reason,unwind_multiplier
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:4,4,1598569200000,2020-08-27,12,5,1.0873306019539868,1.0221872045382918,1.0873306019539868,0.0,0.0,-8.240190710112946,63.90675,927.853059289887,600.0,420.0,0.7,0.0,927.853059289887,327.853059289887,1.5464217654831451,-0.08922766505997093,0.9383542427207445,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:2,2,1598569200000,2020-08-27,14,5,0.9249597855227882,0.8695442359249329,0.9249597855227882,44.59943435984121,41.2526832399164,-87.35766160191349,0.0,953.895021638003,600.0,420.0,0.7,0.4277324313070382,953.4672892066959,353.4672892066959,1.5891121486778266,-0.08922766505997093,0.9383542427207445,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:76,76,1604876400000,2020-11-08,13,1,1.2832906720638135,1.167212334067504,1.2832906720638135,0.0,0.0,183.6657999746034,31.3665,1152.2992999746034,600.0,420.0,0.7,0.0,1152.2992999746034,552.2992999746034,1.9204988332910056,-0.30709868909225824,3.414953556224924,True,False,none,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:90,90,1605654000000,2020-11-17,8,2,1.0836987043696735,1.0468495985023893,1.0836987043696735,0.0,0.0,64.40629559117642,107.14649999999999,957.2597955911764,600.0,420.0,0.7,0.0,957.2597955911764,357.2597955911764,1.5954329926519606,-0.1522142667727393,1.4506567994988322,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:99,99,1606086000000,2020-11-22,4,4,1.0170661371909422,0.9644022124521345,1.0170661371909422,750.0,762.7996028932066,-749.6058412048881,48.1845,965.0092616883186,600.0,420.0,0.7,2.9044132622927012,962.1048484260259,362.1048484260259,1.6035080807100432,-0.09688523213835942,1.1400275636216557,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:91,91,1606258800000,2020-11-24,14,1,1.0071488460350384,0.9416177573805217,1.0071488460350384,675.2246487247462,680.0517257775423,-661.1160845124385,54.691500000000005,964.2441412651037,600.0,420.0,0.7,2.6061689850152314,961.6379722800885,361.63797228008855,1.6027299538001476,-0.07693320459931541,1.339444258065812,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:161,161,1611788400000,2021-01-27,8,3,1.0127593904153003,0.9676743737426627,1.0127593904153003,750.0,759.5695428114752,-706.9664220201486,143.08350000000002,909.5196207913266,600.0,420.0,0.7,2.8927179728636974,906.6269028184629,306.6269028184629,1.5110448380307715,-0.08344469190794357,0.8748070362782719,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:191,191,1613862000000,2021-02-20,2,1,1.1124862149246417,1.0865424246137394,1.1124862149246417,65.77135581863922,73.16972668513976,-18.218681484063275,47.82975,1007.1212952010766,600.0,420.0,0.7,0.528897511386825,1006.5923976896897,406.59239768968973,1.677653996149483,-0.2187848092453355,2.4789028592181412,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:193,193,1614034800000,2021-02-22,2,1,1.443801379807548,0.9111936636994462,1.443801379807548,65.65399596738644,94.79132996759172,125.64782803830309,64.68525,1155.7539080058948,600.0,420.0,0.7,0.5982174350450984,1155.1556905708496,555.1556905708496,1.9252594842847495,-0.09827273301851869,2.6876697539994567,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:197,197,1614726000000,2021-03-02,6,2,0.8121450745816612,0.7778159600677962,0.8121450745816612,750.0,609.1088059362459,-698.9426545971935,0.0,910.1661513390524,600.0,420.0,0.7,2.352819683514488,907.8133316555379,307.8133316555379,1.5130222194258964,-0.12657568983350587,1.358740612304682,True,False,observation,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:220,220,1616972400000,2021-03-28,9,1,1.2761741268226516,1.1518664519046005,1.2761741268226516,0.0,0.0,116.71493359048169,149.7645,966.9504335904817,600.0,420.0,0.7,0.0,966.9504335904817,366.9504335904817,1.6115840559841361,-0.2114479096415921,2.0680853525421754,True,False,none,3.0
stress_concentration_coupled_book,CURRENT_V1_HEDGED_BALANCED:244,244,1618873200000,2021-04-19,7,1,1.1026087504904982,1.0442920006726835,1.1026087504904982,0.0,0.0,121.34294779029484,24.2835,1097.0594477902948,600.0,420.0,0.7,0.0,1097.0594477902948,497.0594477902948,1.8284324129838248,-0.23150192665714153,2.6923492612504347,True,False,none,3.0
