scenario,ts_ms,date_utc,live_notes_before,liquidated_today,live_notes_after,stress_day,return_1d,vol_5d_ann,daily_buyback_paid_usdc,daily_unwind_cost_usdc,daily_buffer_usdc,min_event_buffer_usdc,max_event_ltv,cumulative_liquidations,cumulative_buyback_paid_usdc,cumulative_unwind_cost_usdc,cumulative_buffer_usdc
primary_ltv_coupled_book,1601247600000,2020-09-27,7,0,7,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1601334000000,2020-09-28,7,0,7,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1601420400000,2020-09-29,7,0,7,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1601506800000,2020-09-30,7,0,7,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1601593200000,2020-10-01,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1601679600000,2020-10-02,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1601766000000,2020-10-03,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1601852400000,2020-10-04,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1601938800000,2020-10-05,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602025200000,2020-10-06,11,0,11,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602111600000,2020-10-07,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602198000000,2020-10-08,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602284400000,2020-10-09,13,0,13,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602370800000,2020-10-10,13,0,13,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602457200000,2020-10-11,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602543600000,2020-10-12,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602630000000,2020-10-13,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602716400000,2020-10-14,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602802800000,2020-10-15,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602889200000,2020-10-16,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1602975600000,2020-10-17,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603062000000,2020-10-18,8,0,8,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603148400000,2020-10-19,9,0,9,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603234800000,2020-10-20,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603321200000,2020-10-21,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603407600000,2020-10-22,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603494000000,2020-10-23,10,0,10,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603580400000,2020-10-24,11,0,11,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603666800000,2020-10-25,11,0,11,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603753200000,2020-10-26,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603839600000,2020-10-27,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1603926000000,2020-10-28,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604012400000,2020-10-29,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604098800000,2020-10-30,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604185200000,2020-10-31,11,0,11,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604271600000,2020-11-01,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604358000000,2020-11-02,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604444400000,2020-11-03,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604530800000,2020-11-04,12,0,12,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604617200000,2020-11-05,13,0,13,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604703600000,2020-11-06,9,0,9,True,0.3564646248304417,1.935939251107895,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604790000000,2020-11-07,2,0,2,True,0.06394736842105275,1.8766430630044226,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604876400000,2020-11-08,1,0,1,True,-0.30709868909225824,3.414953556224924,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1604962800000,2020-11-09,1,0,1,True,0.0,3.414953556224924,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605049200000,2020-11-10,1,0,1,True,0.0,3.414953556224924,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605135600000,2020-11-11,2,0,2,True,0.0,2.4576648704009587,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605222000000,2020-11-12,3,0,3,True,0.0,2.3295376658971962,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605308400000,2020-11-13,4,0,4,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605394800000,2020-11-14,5,0,5,False,0.0,0.0,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605481200000,2020-11-15,6,0,6,False,0.06386195391512883,0.3930886272880663,0,0,0,,,0,0.0,0.0,0.0
primary_ltv_coupled_book,1605567600000,2020-11-16,4,0,4,False,0.10873719802028714,0.674755142854569,0,0,0,,,0,0.0,0.0,0.0
