scenario,date_utc,live_notes_before,liquidated_today,live_notes_after,stress_day,return_1d,vol_5d_ann,daily_buyback_paid_usdc,daily_unwind_cost_usdc,daily_buffer_usdc,min_event_buffer_usdc,max_event_ltv,cumulative_liquidations,cumulative_buyback_paid_usdc,cumulative_unwind_cost_usdc,cumulative_buffer_usdc
primary_lending_liquidation,2007-04-16,1,0,1,False,0.009182527063845036,0.11250012271704721,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-17,2,0,2,False,-0.003031037703988937,0.11428588387017231,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-18,3,0,3,False,-0.0058373262475748255,0.11278586200991522,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-19,4,0,4,False,-0.00477063473576067,0.12009659810172896,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-20,5,0,5,False,0.005537098373223914,0.1349045706973785,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-23,6,0,6,False,-0.0037679826200518463,0.10048080342903402,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-24,7,0,7,False,-0.0004865107629951071,0.09869466848119303,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-25,8,0,8,False,0.0027987753234299806,0.08808447621893992,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-26,9,0,9,False,0.001137263672760458,0.08229782646061705,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-27,10,0,10,False,-0.004223556074758994,0.07137129264173606,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-04-30,11,0,11,False,-0.021570514441440425,0.15333199152598595,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-01,12,0,12,False,-0.0008703419565745385,0.16062083889361037,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-02,13,0,13,False,0.005851853957776099,0.18972526637601406,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-03,14,0,14,False,0.0018259467205445912,0.18499266735685513,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-04,15,0,15,False,0.0008585729855405955,0.18885507698150447,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-07,16,0,16,False,-0.0028978249777091847,0.08449110494743246,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-08,17,0,17,False,-0.0035117571942010484,0.09896100017061471,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-09,18,0,18,False,0.002140001921634438,0.060782696025671115,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-10,19,0,19,False,-0.013666521019038091,0.10438935826316524,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-11,20,0,20,False,0.008557285490226052,0.13424105494908878,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-14,21,0,21,False,-0.008744153793182385,0.14270511556573023,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-15,22,0,22,False,-0.007963752805756008,0.14649400644790156,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-16,23,0,23,False,0.005434141469343956,0.16577294988563038,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-17,24,0,24,False,-0.007738666680661588,0.1390620142115022,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-18,25,0,25,False,0.008201969315771995,0.13402968929308148,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-21,26,0,26,False,-0.0005241897104849569,0.1435246416863511,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-22,27,0,27,False,-0.0007866469284708577,0.11537158232604314,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-23,28,0,28,False,-0.004675821669994251,0.12681261861808799,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-24,29,0,29,False,-0.01430710991769113,0.15403426885682614,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-25,30,0,30,False,0.004170560657980493,0.14208202819979107,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-29,31,0,31,False,0.0036258358685850034,0.13051352020017254,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-30,32,0,32,False,0.006726697400525561,0.14056930444782728,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-05-31,33,0,33,False,-0.001042405575801042,0.1352948559164574,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-06-01,34,0,34,False,0.0006327521491968913,0.04676644538359882,0.0,0.0,0.0,,,0,0.0,0.0,0.0
primary_lending_liquidation,2007-06-04,35,0,35,False,0.00012983042720149385,0.052536978049708936,0.0,0.0,0.0,,,0,0.0,0.0,0.0
