scenario,note_id,entry_index,issue_date,event_date_utc,step_day,live_notes_before,worst_close_ratio,worst_low_ratio,knock_in_triggered,note_liability_usdc,buyback_price_usdc,borrow_amount_usdc,current_ltv,current_assets_usdc,hedge_cash_usdc,hedge_inventory_mark_usdc,unwind_cost_usdc,available_after_unwind_usdc,buffer_usdc,coverage_ratio,return_1d,vol_5d_ann,stress_day,trigger_reason,unwind_multiplier,spy_units,qqq_units
stress_concentration_coupled_book,2007-10-31,392,2007-10-31,2008-09-17,221,290,0.7306923491991839,0.730328902748024,True,72.8217298057159,62.821729805715904,49.0,0.7799848898070566,89.14568523321546,9.094491093378789,80.05119413983667,3.6804034316970915,85.42525620444846,22.603526398732555,1.3598042662727818,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.28021243445834737,1.2254441620107157
stress_concentration_coupled_book,2007-10-12,379,2007-10-12,2008-09-17,234,290,0.7459220830584496,0.7420200770250154,True,73.2476585070094,63.247658507009405,49.0,0.7747322376301028,85.41609555847681,0.006793081839086713,85.40930247663772,3.6858206809252447,81.68757022631324,18.439911719303836,1.2915508993468943,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.5294974773413959,0.6348248545263555
stress_concentration_coupled_book,2007-10-09,376,2007-10-09,2008-09-17,237,290,0.745207079462038,0.7413088136964018,True,73.3472855132503,63.3472855132503,49.0,0.7735138073082976,85.41043376069108,0.0037454219140415257,85.40668833877703,3.6858323691794963,81.68189804734219,18.33461253409189,1.2894301213626091,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.5644847035416822,0.5326718305425003
stress_concentration_coupled_book,2007-10-10,377,2007-10-10,2008-09-17,236,290,0.7464473159592945,0.7425425623708615,True,73.70407206058151,63.70407206058151,49.0,0.7691815988372269,86.71595819372035,2.030401303949531,84.68555688977082,3.6850797397600985,82.98853567551537,19.284463614933856,1.3027194807357787,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.48799766633587804,0.737442379655165
stress_concentration_coupled_book,2007-10-29,390,2007-10-29,2008-09-17,223,290,0.7425669058431298,0.7421975529862492,True,73.77556852756865,63.77556852756865,49.0,0.7683192973625703,88.98366359718452,2.98103519685217,86.00262840033234,3.686394958799948,85.25426732418438,21.47869879661573,1.3367856891362875,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.31019877730952544,1.2898409840041474
stress_concentration_coupled_book,2007-11-06,396,2007-11-06,2008-09-17,217,290,0.7353694012446182,0.7350036284272802,True,73.81715412950429,63.81715412950429,49.0,0.7678186322844198,92.4183890552908,13.134013557778731,79.28437549751207,3.679633350189279,88.69911351735277,24.881959387848482,1.3898945311374347,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.2664665102552923,1.2459816348610346
stress_concentration_coupled_book,2007-10-30,391,2007-10-30,2008-09-17,222,290,0.7410615615245094,0.7406929574260509,True,73.87048847778796,63.87048847778796,49.0,0.7671774737880794,85.90236071349817,8.052498897628084,77.84986181587009,3.6781882464608664,82.18524753612937,18.31475905834141,1.2867483793350145,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.26601395292529445,1.2106907058398015
stress_concentration_coupled_book,2007-10-08,375,2007-10-08,2008-09-17,238,290,0.7522255024932105,0.7482905225323053,True,74.03935914202079,64.03935914202079,49.0,0.765154440276833,89.56772207514705,0.007856432057040496,89.55986564309,3.6899933881619513,85.83294875416355,21.793589612142767,1.3403155481898388,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.5280915385208635,0.7448570760896335
stress_concentration_coupled_book,2007-10-05,374,2007-10-05,2008-09-17,239,290,0.7482194163848743,0.7443053927309619,True,74.14016723920408,64.14016723920408,49.0,0.7639518590162012,85.77072416720493,0.007313332784447665,85.76341083442048,3.686225688720374,82.04161677306736,17.901449533863286,1.2790988908261136,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.6297517397008503,0.3513388039562093
stress_concentration_coupled_book,2007-11-02,394,2007-11-02,2008-09-17,219,290,0.7388827717274424,0.7385152513592576,True,74.16910582891771,64.16910582891771,49.0,0.7636073366931385,88.27371398015079,0.0017936340308225384,88.27192034611997,3.688719759666001,84.54085826031174,20.37175243139403,1.317469788120587,-0.05187457606354362,0.47859118652425486,True,stress_day_forced_fraction,3.0,0.18906417718870663,1.7012059944465987
