scenario,note_id,entry_index,issue_date,event_date_utc,step_day,live_notes_before,worst_close_ratio,worst_low_ratio,knock_in_triggered,note_liability_usdc,buyback_price_usdc,borrow_amount_usdc,current_ltv,current_assets_usdc,hedge_cash_usdc,hedge_inventory_mark_usdc,unwind_cost_usdc,available_after_unwind_usdc,buffer_usdc,coverage_ratio,return_1d,vol_5d_ann,stress_day,trigger_reason,unwind_multiplier,spy_units,qqq_units
primary_lending_liquidation,2007-10-31,392,2007-10-31,2008-10-02,232,301,0.6678175688752861,0.6658186480540677,True,67.36724646029556,57.36724646029556,49.0,0.8541459286164865,83.02057149654001,11.966573660508308,71.05399783603171,1.2427352223355101,81.74230927528649,24.375062814990926,1.4248951155754206,-0.05132788696383206,0.7002901762418898,True,ltv_threshold,1.0,0.12033866064732575,1.6157890592901725
primary_lending_liquidation,2007-10-10,377,2007-10-10,2008-10-03,248,301,0.6761353287244717,0.6746402468040058,True,67.15470266839672,57.15470266839672,49.0,0.8573222799231566,80.1077008888743,4.064200086626449,76.04350080224786,1.245725086422048,78.82395405205115,21.669251383654426,1.3791333061318904,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.26810264671370637,1.334437822182028
primary_lending_liquidation,2007-10-12,379,2007-10-12,2008-10-03,246,301,0.6758827037217991,0.674388180410029,True,67.5487209195049,57.5487209195049,49.0,0.8514524600561975,79.03943162014544,0.0007707310838091133,79.03866088906163,1.2475328594716992,77.75237943022921,20.20365851072431,1.3510705049202356,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.22573678717998946,1.5493985188416786
primary_lending_liquidation,2007-10-18,383,2007-10-18,2008-10-03,242,301,0.6727408167793343,0.6712532408613243,True,67.4081299298339,57.408129929833905,49.0,0.8535376445790762,83.7300709045572,15.36302237247468,68.36704853208252,1.2411101982251695,82.45477718206597,25.046647252232063,1.4362909449035337,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.1653102621136377,1.4320969318190364
primary_lending_liquidation,2007-10-23,386,2007-10-23,2008-10-03,239,301,0.6677740882500425,0.6662974948464975,True,67.33146720034446,57.33146720034446,49.0,0.8546789815926008,86.40771570867273,18.797060474303976,67.61065523436875,1.2406536674196742,85.13325671363586,27.801789513291396,1.4849307172994233,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.17306995425438015,1.3868302630010498
primary_lending_liquidation,2007-10-26,389,2007-10-26,2008-10-03,236,301,0.6708696476996591,0.6693862093424927,True,67.5033385274724,57.503338527472394,49.0,0.8521244375505277,80.33793450330664,2.219713182872524,78.11822132043412,1.2469830945051064,79.05189229814133,21.54855377066893,1.3747356992216033,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.1837866104840805,1.652011210735668
primary_lending_liquidation,2007-10-29,390,2007-10-29,2008-10-03,235,301,0.6681440311296195,0.6666666197020972,True,67.01200880041758,57.012008800417576,49.0,0.8594680494689236,82.26490777023125,7.836957190116295,74.42795058011495,1.244752481213696,80.9829413137275,23.97093251330992,1.420454094105422,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.26074501479896944,1.3111866609515401
primary_lending_liquidation,2007-10-30,391,2007-10-30,2008-10-03,234,301,0.6667895581341673,0.665315141740333,True,66.93851179598606,56.93851179598606,49.0,0.8605774625014753,78.76907938362142,3.7486491279343928,75.02043025568702,1.245111992726315,77.48645717576727,20.54794537978121,1.3608795651949188,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.22589233090513022,1.4349374424393693
primary_lending_liquidation,2007-11-02,394,2007-11-02,2008-10-03,231,301,0.664829134923085,0.6633590534503454,True,66.90753997069389,56.90753997069389,49.0,0.8610458302227421,81.20786079828106,8.909641554685352,72.29821924359571,1.2434948044354792,79.92821688422379,23.020676913529897,1.4045277115367318,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.070903036765077,1.8332960411762007
primary_lending_liquidation,2007-11-06,396,2007-11-06,2008-10-03,229,301,0.6616678877697653,0.660204796500413,True,66.98077968121163,56.98077968121163,49.0,0.8599390930439805,85.0533730458274,16.16460320237847,68.88876984344893,1.2414248128401644,83.77750384806552,26.796724166853892,1.4702765444202868,-0.015510195777529767,0.6766680951693461,False,ltv_threshold,1.0,0.16267080639747136,1.4549954923106634
